"Date","IP","Difficulty","Result","Total","Fighting","Pirates","Lives","Hazards"
"2024-02-27 20:54:39","127.0.0.1","1","survived","41","24","30","5","-18"
"2024-02-27 21:12:10","127.0.0.1","1","survived","62","36","30","20","-24"
"2024-02-27 21:17:34","127.0.0.1","2","died","-58","2","0","0","-60"
"2024-02-27 21:28:09","127.0.0.1","2","survived","80","30","30","35","-15"
"2024-02-27 21:31:21","127.0.0.1","3","died","-53","13","0","0","-66"
"2024-02-27 21:41:58","127.0.0.1","3","survived","57","35","30","10","-18"
"2024-02-27 21:47:16","127.0.0.1","4","died","-7","23","0","0","-30"
"2024-02-27 23:33:04","192.168.88.177","1","died","-5","25","0","0","-30"
"2024-02-27 23:40:20","192.168.88.177","1","died","-13","23","0","0","-36"
"2024-02-27 23:44:55","192.168.88.177","1","died","-39","15","0","0","-54"
"2024-02-28 22:15:44","192.168.88.197","1","died","-19","23","0","0","-42"
"2024-02-28 22:25:17","192.168.88.197","1","died","-11","22","0","0","-33"
"2024-02-29 01:32:22","192.168.88.197","1","survived","62","32","30","15","-15"
"2024-02-29 03:33:03","192.168.88.197","1","survived","70","36","30","25","-21"
"2024-02-29 03:40:09","192.168.88.197","4","died","-49","5","0","0","-54"
"2024-02-29 03:43:31","192.168.88.197","4","died","-46","5","0","0","-51"
"2024-02-29 03:47:30","192.168.88.197","4","died","-59","-2","0","0","-57"
"2024-02-29 03:49:04","192.168.88.197","4","died","-81","0","0","0","-81"
"2024-02-29 03:52:50","192.168.88.197","4","died","-42","12","0","0","-54"
"2024-02-29 03:55:06","192.168.88.197","4","died","-72","3","0","0","-75"
"2024-02-29 03:57:16","192.168.88.197","4","died","-51","9","0","0","-60"
"2024-02-29 04:01:14","192.168.88.197","4","died","-52","11","0","0","-63"
"2024-02-29 04:05:43","192.168.88.197","4","died","-35","19","0","0","-54"
"2024-02-29 04:12:13","192.168.88.197","4","died","25","43","0","0","-18"
